Change of Physical State,other_cos-45.4,5,"['acidify', 'coarsen', 'thicken', 'harden', 'fossilize']"
Persuade Activity,compel-59.1,5,"['wheedle', 'convince', 'palaver', 'drive', 'persuade']"
Cause Configurational State,contiguous_location-47.8,5,"['encircle', 'encompass', 'enclose', 'engulf', 'surround']"
Protect Activity,defend-72.3,5,"['preserve', 'defend', 'safeguard', 'protect', 'guard']"
Cause Change of State,other_cos-45.4,5,"['vary', 'age', 'stabilize', 'flatten', 'change']"
Cause Cover Activity,fill-9.8,5,"['coat', 'blanket', 'cover', 'pave', 'carpet']"
Assessment Activity,assessment-34.1,5,"['assess', 'survey', 'analyze', 'analyse', 'test']"
Cause Continue Activity,sustain-55.6,5,"['prolong', 'leave', 'maintain', 'sustain', 'continue']"
Predict Activity,conjecture-29.5,5,"['prognosticate', 'anticipate', 'foretell', 'foresee', 'guess']"
Argue Activity,battle-36.4,5,"['contend', 'argue', 'quibble', 'bicker', 'debate']"
Give Food Activity,feeding-39.7,5,"['feed', 'breastfeed', 'handfeed', 'spoonfeed', 'bottlefeed']"
Yield Activity,acquiesce-95.1,5,"['acquiesce', 'submit', 'succumb', 'capitulate', 'yield']"
Write Activity,scribble-25.2,5,"['write', 'pencil', 'scrawl', 'scribble', 'ink']"
Draw Activity,scribble-25.2,5,"['chalk', 'doodle', 'draw', 'crayon', 'sketch']"
Representational State,representation-110.1,5,"['represent', 'mean', 'signify', 'symbolize', 'denote']"
Continue Activity,exist-47.1,5,"['persevere', 'remain', 'stay', 'endure', 'persist']"
Adapt Activity,adjust-26.9,5,"['accommodate', 'adjust', 'adapt', 'fit', 'gear']"
Hit with Damaging Purpose,spank-18.3,5,"['horsewhip', 'flog', 'lather', 'bludgeon', 'strap']"
Go Out of Existence,disappearance-48.2,5,"['die', 'expire', 'vanish', 'perish', 'disappear']"
Sew Activity,build-26.1,5,"['sew', 'knit', 'stitch', 'embroider', 'crochet']"
Vacation Activity,weekend-56,5,"['summer', 'holiday', 'weekend', 'vacation', 'winter']"
Lead Activity,conduct-111.1,5,"['spearhead', 'head', 'run', 'host', 'conduct']"
Cause Transfer of Location,throw-17.1,5,"['fire', 'cast', 'lob', 'pitch', 'hurl']"
Boil Food Activity,cooking-45.3,5,"['poach', 'hardboil', 'softboil', 'parboil', 'boil']"
Undergo Cooking Activity,cooking-45.3,5,"['char', 'cook', 'bake', 'roast', 'boil']"
Cause Fear Activity,amuse-31.1,5,"['frighten', 'terrorize', 'scare', 'terrify', 'spook']"
Cause Increase Size Activity,other_cos-45.4,5,"['double', 'deepen', 'fatten', 'augment', 'dilate']"
Living Entity Reproductive Process,birth-28.2,5,"['reproduce', 'procreate', 'beget', 'bear', 'father']"
Ascend Activity,meander-47.7,4,"['mount', 'rise', 'ascend', 'climb']"
Operate Activity,function-105.2.1,4,"['function', 'operate', 'run', 'work']"
Amass Activity,herd-47.5.2,4,"['accumulate', 'amass', 'group', 'collect']"
Boat Activity,vehicle-51.4.1,4,"['ferry', 'yacht', 'boat', 'gondola']"
Signature Activity,illustrate-25.3,4,"['initial', 'letter', 'autograph', 'endorse']"
Fill Activity,fill-9.8,4,"['saturate', 'inundate', 'inject', 'fill']"
Disable Activity,remedy-45.7,4,"['emasculate', 'counteract', 'disable', 'inactivate']"
Classify Activity,classify-29.10,4,"['sort', 'categorize', 'class', 'classify']"
Decide Activity,settle-36.1.2,4,"['settle', 'resolve', 'decide', 'deliberate']"
Decrease Activity,caused_calibratable_cos-45.6.2,4,"['decrease', 'lower', 'reduce', 'diminish']"
Exchange Activity,substitute-13.6.2,4,"['supplant', 'swap', 'substitute', 'replace']"
Guarantee Activity,ensure-99,4,"['insure', 'assure', 'ensure', 'guarantee']"
Cause Living Entity Physical Damage,hurt-40.8.3,4,"['chafe', 'bite', 'bruise', 'injure']"
Monetary Take Activity,bill-54.5,4,"['charge', 'bill', 'overcharge', 'invoice']"
Human Expressive Act,marry-36.2,4,"['nuzzle', 'hug', 'cuddle', 'kiss']"
Say Activity,say-37.7,4,"['voice', 'utter', 'add', 'vocalize']"
Cause Transfer Activity,send-11.1,4,"['forward', 'transfer', 'transmit', 'pass']"
Cause Satisfaction State,amuse-31.1,4,"['satisfy', 'gratify', 'assuage', 'appease']"
Living Entity Physical Damage,hurt-40.8.3,4,"['chafe', 'sunburn', 'bruise', 'injure']"
Cause Dirty State,fill-9.8,4,"['sully', 'soil', 'stain', 'dirty']"
Commit Activity,future_having-13.3,4,"['owe', 'bequeath', 'promise', 'concede']"
Hydrate Activity,other_cos-45.4,4,"['moisten', 'hydrate', 'dampen', 'wet']"
Express Sadness Activity,marvel-31.3,4,"['mope', 'cry', 'grieve', 'weep']"
Risk Activity,risk-94,4,"['chance', 'venture', 'gamble', 'risk']"
Cause Increase Activity,other_cos-45.4,4,"['increase', 'accelerate', 'expand', 'lengthen']"
Empathetic Relation,empathize-88.2,4,"['identify', 'commiserate', 'sympathize', 'empathize']"
